Motor,Prop,U,W
Scorpion SII-2208-1100KV (V2),10x10E,7.4,82.7
Scorpion SII-2215-900KV (V2),10x10E,7.4,74.4
Scorpion SII-2215-900KV (V2),10x10E,11.1,186.3
Scorpion SII-3020-890KV (V2),10x10E,11.1,384.0
Scorpion SII-3026-710KV (V2),10x10E,14.8,554.5
Scorpion SII-3026-710KV (V2),10x10E,18.5,1006.7
Scorpion SII-3026-890KV (V2),10x10E,11.1,586.6
Scorpion SII-4020-630KV,10x10E,22.2,1449.2
Scorpion SII-3026-1190KV (V2),10x5,10.5,505.68
Scorpion SII-3026-1190KV (V2),10x5,14,1142.12
Scorpion SII-3032-690KV (V2),10x5,17.5,423.5
Scorpion SII-2208-1100KV (V2),10x5E,7.4,54.5
Scorpion SII-3008-1090KV (V2),10x5E,11.1,253.8
Scorpion SII-3020-890KV (V2),10x5E,14.8,434.8
Scorpion SII-3020-890KV (V2),10x5E,18.5,824.6
Scorpion SII-3026-890KV (V2),10x5E,14.8,681.3
Scorpion SII-2208-1100KV (V2),10x6E,7.4,60.3
Scorpion SII-2215-900KV (V2),10x6E,11.1,129.5
Scorpion SII-3008-1090KV (V2),10x6E,11.1,278.7
Scorpion SII-3020-890KV (V2),10x6E,14.8,494.0
Scorpion SII-3026-710KV (V2),10x6E,18.5,598.5
Scorpion SII-3026-890KV (V2),10x6E,14.8,751.2
Scorpion SII-3026-1190KV (V2),10x7,10.5,614.04
Scorpion SII-3032-690KV (V2),10x7,17.5,521.85
Scorpion SII-2208-1100KV (V2),10x7E,7.4,66.3
Scorpion SII-2215-900KV (V2),10x7E,7.4,52.2
Scorpion SII-2215-900KV (V2),10x7E,11.1,142.0
Scorpion SII-3020-890KV (V2),10x7E,11.1,257.2
Scorpion SII-3020-890KV (V2),10x7E,14.8,566.4
Scorpion SII-3026-710KV (V2),10x7E,18.5,697.5
Scorpion SII-3026-890KV (V2),10x7E,11.1,392.1
Scorpion SII-3026-890KV (V2),10x7E,14.8,863.0
Scorpion SII-4020-630KV,10x7E,22.2,1004.0
Scorpion SII-3032-690KV (V2),11x10,10.5,256.52
Scorpion SII-3032-690KV (V2),11x10,14,529.76
Scorpion SII-3032-690KV (V2),11x10,17.5,981.75
Scorpion SII-2208-1100KV (V2),11x10E,7.4,90.0
Scorpion SII-2215-900KV (V2),11x10E,7.4,82.9
Scorpion SII-3020-890KV (V2),11x10E,11.1,443.0
Scorpion SII-3026-710KV (V2),11x10E,14.8,659.1
Scorpion SII-3026-890KV (V2),11x10E,11.1,688.4
Scorpion SII-4020-540KV,11x10E,22.2,1081.0
Scorpion SII-4020-630KV,11x10E,18.5,1074.6
Scorpion SII-4020-630KV,11x10E,22.2,1789.5
Scorpion SII-2208-1100KV (V2),11x5.5E,7.4,67.5
Scorpion SII-2215-900KV (V2),11x5.5E,7.4,53.3
Scorpion SII-2215-900KV (V2),11x5.5E,11.1,148.0
Scorpion SII-3026-1190KV (V2),11x5.5,10.5,651.21
Scorpion SII-3032-690KV (V2),11x5.5,14,295.68
Scorpion SII-3032-690KV (V2),11x5.5,17.5,555.63
Scorpion SII-3020-890KV (V2),11x5.5E,11.1,277.8
Scorpion SII-3020-890KV (V2),11x5.5E,14.8,616.7
